apartment,beds,mattresses,closets,ac_units,ac_remotes
קרוון 1,2,3,0,0,0
קרוון 2,6,5,0,0,0
קרוון 3,5,5,0,0,0
קרוון 4,5,5,0,0,0
קרוון 5,0,0,0,0,0
קרוון 6,2,0,0,0,0
קרוון 7,2,0,0,0,0
באר שבע 101,4,4,0,0,0
באר שבע 102,5,5,0,0,0
אשקלון 103,4,3,0,0,0
אשקלון 104,4,4,0,0,0
אשדוד 106,4,4,0,0,0
אשדוד 105,4,4,0,0,0
ירושלים 201,4,5,0,0,0
ירושלים 202,4,4,0,0,0
חברון 203,5,5,0,0,0
חברון 204,4,3,0,0,0
רחובות 206,4,5,0,0,0
רחובות 205,5,5,0,0,0
זכרון 301,4,4,0,0,0
זכרון 302,5,4,0,0,0
זכרון 303,4,4,0,0,0
זכרון 304,5,5,0,0,0
עכו 306,4,3,0,0,0
עכו 305,4,4,0,0,0
401,0,0,0,0,0
402,0,0,0,0,0
403,0,0,0,0,0
404,0,0,0,0,0
406,0,0,0,0,0
405,0,0,0,0,0
501,0,0,0,0,0
502,0,0,0,0,0
503,0,0,0,0,0
504,0,0,0,0,0
505,0,0,0,0,0
506,0,0,0,0,0
601,0,0,0,0,0
602,0,0,0,0,0
603,0,0,0,0,0
604,0,0,0,0,0
605,0,0,0,0,0
606,0,0,0,0,0
מדריכים 1,0,0,0,0,0
מדריכים 2,0,0,0,0,0
מדריכים 3,0,0,0,0,0
מדריכים 4,0,0,0,0,0
מדריכים 5,0,0,0,0,0
מדריכים 6,0,0,0,0,0
אב בית,0,0,0,0,0
בנות שירות,0,0,0,0,0
