apartment,beds,mattresses,closets,ac_units,ac_remotes,beds_actual,mattresses_actual
קרוון 1,8.0,8.0,8.0,4,1,2,3
קרוון 2,8.0,8.0,8.0,4,1,6,5
קרוון 3,8.0,8.0,8.0,4,1,5,5
קרוון 4,8.0,8.0,8.0,4,1,5,5
קרוון 5,8.0,8.0,8.0,4,1,0,0
קרוון 6,8.0,8.0,8.0,4,1,2,0
קרוון 7,8.0,8.0,8.0,4,1,2,0
באר שבע 101,6.0,6.0,6.0,3,1,4,4
באר שבע 102,6.0,6.0,6.0,3,1,5,5
אשקלון 103,6.0,6.0,6.0,3,1,4,3
אשקלון 104,6.0,6.0,6.0,3,1,4,4
אשדוד 106,6.0,6.0,6.0,3,1,4,4
אשדוד 105,6.0,6.0,6.0,3,1,4,4
ירושלים 201,6.0,6.0,6.0,3,1,4,5
ירושלים 202,6.0,6.0,6.0,3,1,4,4
חברון 203,6.0,6.0,6.0,3,1,5,5
חברון 204,6.0,6.0,6.0,3,1,4,3
רחובות 206,6.0,6.0,6.0,3,1,4,5
רחובות 205,6.0,6.0,6.0,3,1,5,5
זכרון 301,6.0,6.0,6.0,3,1,4,4
זכרון 302,6.0,6.0,6.0,3,1,5,4
זכרון 303,6.0,6.0,6.0,3,1,4,4
זכרון 304,6.0,6.0,6.0,3,1,5,5
עכו 306,6.0,6.0,6.0,3,1,4,3
עכו 305,6.0,6.0,6.0,3,1,4,4
401,6.0,6.0,6.0,3,1,0,0
402,6.0,6.0,6.0,3,1,0,0
403,6.0,6.0,6.0,3,1,0,0
404,6.0,6.0,6.0,3,1,0,0
406,6.0,6.0,6.0,3,1,0,0
405,6.0,6.0,6.0,3,1,0,0
501,6.0,6.0,6.0,3,1,0,0
502,6.0,6.0,6.0,3,1,0,0
503,6.0,6.0,6.0,3,1,0,0
504,6.0,6.0,6.0,3,1,0,0
505,6.0,6.0,6.0,3,1,0,0
506,6.0,6.0,6.0,3,1,0,0
601,6.0,6.0,6.0,3,1,0,0
602,6.0,6.0,6.0,3,1,0,0
603,6.0,6.0,6.0,3,1,0,0
604,6.0,6.0,6.0,3,1,0,0
605,6.0,6.0,6.0,3,1,0,0
606,6.0,6.0,6.0,3,1,0,0
מדריכים 1,,,4.0,4,1,0,0
מדריכים 2,,,4.0,4,1,0,0
מדריכים 3,,,3.0,3,1,0,0
מדריכים 4,,,2.0,2,1,0,0
מדריכים 5,,,2.0,2,1,0,0
מדריכים 6,,,1.0,1,1,0,0
אב בית,,,3.0,3,1,0,0
בנות שירות,,,6.0,3,1,0,0
