apartment,standard_unit_id,standard_unit_label
קרוון 1,קרוון 1,קרוון 1
קרוון 2,קרוון 2,קרוון 2
קרוון 3,קרוון 3,קרוון 3
קרוון 4,קרוון 4,קרוון 4
קרוון 5,קרוון 5,קרוון 5
קרוון 6,קרוון 6,קרוון 6
קרוון 7,קרוון 7,קרוון 7
קרוון 8,קרוון 8,קרוון 8
קרוון 9,קרוון 9,קרוון 9
באר שבע 101,101-102,חדרים 101-102
באר שבע 102,101-102,חדרים 101-102
אשקלון 103,103-104,חדרים 103-104
אשקלון 104,103-104,חדרים 103-104
אשדוד 105,105-106,חדרים 105-106
אשדוד 106,105-106,חדרים 105-106
אילת 107,107-108,חדרים 107-108
אילת 108,107-108,חדרים 107-108
ירושלים 201,201-202,חדרים 201-202
ירושלים 202,201-202,חדרים 201-202
חברון 203,203-204,חדרים 203-204
חברון 204,203-204,חדרים 203-204
רחובות 205,205-206,חדרים 205-206
רחובות 206,205-206,חדרים 205-206
יפו 207,207-208,חדרים 207-208
יפו 208,207-208,חדרים 207-208
בני ברק 209,209-210,חדרים 209-210
בני ברק 210,209-210,חדרים 209-210
יבנה 211,211-212,חדרים 211-212
יבנה 212,211-212,חדרים 211-212
זכרון 301,301-302,חדרים 301-302
זכרון 302,301-302,חדרים 301-302
זכרון 303,303-304,חדרים 303-304
זכרון 304,303-304,חדרים 303-304
עכו 305,305-306,חדרים 305-306
עכו 306,305-306,חדרים 305-306
קרית שמונה 307,307-308,חדרים 307-308
קרית שמונה 308,307-308,חדרים 307-308
טבריה 309,309-310,חדרים 309-310
טבריה 310,309-310,חדרים 309-310
מטולה 311,311-312,חדרים 311-312
מטולה 312,311-312,חדרים 311-312
צפת 313,313,חדר 313
401,401-402,חדרים 401-402
402,401-402,חדרים 401-402
403,403-404,חדרים 403-404
404,403-404,חדרים 403-404
405,405-406,חדרים 405-406
406,405-406,חדרים 405-406
501,501-502,חדרים 501-502
502,501-502,חדרים 501-502
503,503-504,חדרים 503-504
504,503-504,חדרים 503-504
505,505-506,חדרים 505-506
506,505-506,חדרים 505-506
601,601-602,חדרים 601-602
602,601-602,חדרים 601-602
603,603-604,חדרים 603-604
604,603-604,חדרים 603-604
605,605-606,חדרים 605-606
606,605-606,חדרים 605-606
מדריכים 1,מדריכים 1,מדריכים 1
מדריכים 2,מדריכים 2,מדריכים 2
מדריכים 3,מדריכים 3,מדריכים 3
מדריכים 4,מדריכים 4,מדריכים 4
מדריכים 5,מדריכים 5,מדריכים 5
מדריכים 6,מדריכים 6,מדריכים 6
אב בית,אב בית,אב בית
בנות שירות,בנות שירות,בנות שירות
